r,a,b,n,s,c,d,m,D,k_lo,k_hi,radprod1,radprod2,support1,support2
5,1,180224,180225,38,1,180224,180225,6848550,258,759,29370,29370,4895,4895
1,1,137780,137781,50,1,137780,137781,6889050,985,2755,17430,17430,2905,2905
1,428750,1874161,2302911,3,428750,1874161,2302911,6908733,16450,48365,101010,101010,16835,16835
1,158949,161051,320000,22,158949,161051,320000,7040000,2286,6678,66990,66990,11165,11165
7,158949,161051,320000,22,158949,161051,320000,7040000,327,954,66990,66990,11165,11165
1,714025,1057536,1771561,4,714025,1057536,1771561,7086244,12655,36893,72930,72930,12155,12155
3,180075,371293,551368,13,180075,371293,551368,7167784,1313,3812,111930,111930,18655,18655
1,1,512000,512001,14,1,512000,512001,7168014,3658,10621,9030,9030,1505,1505
3,1,512000,512001,14,1,512000,512001,7168014,1220,3540,9030,9030,1505,1505
9,1,512000,512001,14,1,512000,512001,7168014,407,1180,9030,9030,1505,1505
1,322102,703125,1025227,7,322102,703125,1025227,7176589,7324,21260,140910,140910,23485,23485
1,132651,588245,720896,10,132651,588245,720896,7208960,5150,13265,39270,39270,6545,6545
1,292259,371293,663552,11,292259,371293,663552,7299072,4740,13682,139854,139854,23309,23309
3,292259,371293,663552,11,292259,371293,663552,7299072,1580,4560,139854,139854,23309,23309
9,177147,344605,521752,14,177147,344605,521752,7304528,415,1195,94710,94710,15785,15785
1,296875,371293,668168,11,296875,371293,668168,7349848,4773,13746,41990,41990,20995,20995
1,1,1050624,1050625,7,1,1050624,1050625,7354375,7505,21610,23370,23370,3895,3895
2,1,1050624,1050625,7,1,1050624,1050625,7354375,3753,10805,23370,23370,3895,3895
1,131072,221875,352947,21,131072,221875,352947,7411887,2522,6241,14910,14910,2485,2485
5,240625,290816,531441,14,240625,290816,531441,7440174,760,2177,164010,164010,27335,27335
1,1,688127,688128,11,1,688127,688128,7569408,4916,14018,21714,21714,3619,3619
2,1,688127,688128,11,1,688127,688128,7569408,2458,7009,21714,21714,3619,3619
4,1,688127,688128,11,1,688127,688128,7569408,1229,3504,21714,21714,3619,3619
6,1,688127,688128,11,1,688127,688128,7569408,820,2336,21714,21714,3619,3619
1,156250,1113879,1270129,6,156250,1113879,1270129,7620774,9073,25817,62790,62790,10465,10465
1,1,512000,512001,15,1,512000,512001,7680015,3658,10380,9030,9030,1505,1505
2,1,512000,512001,15,1,512000,512001,7680015,1829,5190,9030,9030,1505,1505
7,1,512000,512001,15,1,512000,512001,7680015,523,1482,9030,9030,1505,1505
8,1,512000,512001,15,1,512000,512001,7680015,458,1297,9030,9030,1505,1505
14,1,512000,512001,15,1,512000,512001,7680015,262,741,9030,9030,1505,1505
3,1,777924,777925,10,1,777924,777925,7779250,1853,5234,225330,225330,37555,37555
1,941192,1011933,1953125,4,941192,1011933,1953125,7812500,13951,39372,84630,84630,14105,14105
1,177147,344605,521752,15,177147,344605,521752,7826280,3727,10511,94710,94710,15785,15785
4,132651,588245,720896,11,132651,588245,720896,7929856,1288,3014,39270,39270,6545,6545
1,292259,371293,663552,12,292259,371293,663552,7962624,4740,13291,139854,139854,23309,23309
1,1,531440,531441,15,1,531440,531441,7971615,3797,10641,199290,199290,33215,33215
1,240625,290816,531441,15,240625,290816,531441,7971615,3797,10641,164010,164010,27335,27335
1,1,180224,180225,45,1,180224,180225,8110125,1288,3588,29370,29370,4895,4895
