U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
21,2196,100,100,0,2,2,1098,1281,50,1331
21,2200,2,2,0,2,2,1100,5775,1,5776
21,2200,1444,1444,0,2,2,1100,609,722,1331
21,2216,50,50,0,2,2,1108,1344,25,1369
21,2256,1504,1504,0,2,2,1128,2373,752,3125
21,2284,512,1024,0,2,2,1142,819,512,1331
21,2328,22,22,0,2,2,1164,2037,11,2048
21,2340,1024,1024,0,2,2,1170,441,1024,1465
21,2356,722,722,0,2,2,1178,1239,361,1600
21,2420,512,1024,0,2,2,1210,6363,512,6875
21,2440,4,4,0,2,2,1220,2205,4,2209
21,2440,16,64,0,2,2,1220,2835,32,2867
21,2440,50,50,0,2,2,1220,2184,25,2209
21,2440,128,256,0,2,2,1220,3969,256,4225
21,2596,118,118,0,2,2,1298,2541,59,2600
21,2620,2,2,0,2,2,1310,1680,1,1681
21,2656,664,332,0,2,2,1328,2793,332,3125
21,2664,928,928,0,2,2,1332,441,928,1369
21,2720,512,2048,0,2,2,1360,2835,1024,3859
21,2756,530,530,0,2,2,1378,1932,265,2197
21,2784,82,82,0,2,2,1392,4872,41,4913
21,2836,2836,2836,0,2,2,1418,2205,2836,5041
21,2860,16,8,0,2,2,1430,1617,8,1625
21,2860,128,256,0,2,2,1430,3969,256,4225
21,2860,358,358,0,2,2,1430,1680,179,1859
21,2860,1250,1250,0,2,2,1430,1344,625,1969
21,2944,1058,1058,0,2,2,1472,1407,529,1936
21,2948,128,64,0,2,2,1474,1617,64,1681
21,2960,1406,1406,0,2,2,1480,2625,703,3328
21,3036,22,110,0,2,2,1518,6804,55,6859
21,3100,1984,1984,0,2,2,1550,441,1984,2425
21,3116,26,26,0,2,2,1558,8379,26,8405
21,3116,50,250,0,2,2,1558,6804,125,6929
21,3116,950,950,0,2,2,1558,1722,475,2197
21,3124,32,16,0,2,2,1562,1617,16,1633
