U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,66003,5547,0,0,1,1,66003,39296,38829,78125
2,66033,1,0,0,1,1,66033,71874,1,71875
2,66033,1,0,0,1,1,66033,168750,1,168751
2,66033,1,0,0,2,1,66033,925100,1,925101
2,66033,18125,0,0,1,1,66033,85698,18125,103823
2,66043,7,0,0,1,1,66043,97920,49,97969
2,66043,81,0,0,1,1,66043,506530,81,506611
2,66043,25353,0,0,1,1,66043,25088,228177,253265
2,66063,1,0,0,1,1,66063,101250,1,101251
2,66063,1,0,0,4,1,66063,130320,1,130321
2,66085,6125,0,0,1,1,66085,134272,42875,177147
2,66091,22031,0,0,1,1,66091,126846,22031,148877
2,66099,16807,0,0,1,1,66099,12672,117649,130321
2,66183,10675,0,0,1,1,66183,57122,10675,67797
2,66183,26195,0,0,1,1,66183,119072,130975,250047
2,66183,48373,0,0,1,1,66183,281250,48373,329623
2,66183,59049,0,0,1,1,66183,24986,59049,84035
2,66185,1,0,0,2,1,66185,465124,1,465125
2,66213,1,0,0,1,1,66213,76874,1,76875
2,66213,1,0,0,2,1,66213,142884,1,142885
2,66213,11767,0,0,1,1,66213,1152,82369,83521
2,66213,34295,0,0,1,1,66213,90774,34295,125069
2,66213,63175,0,0,1,1,66213,89216,442225,531441
2,66253,14641,0,0,1,1,66253,10144,73205,83349
2,66253,16807,0,0,1,1,66253,12672,117649,130321
2,66283,39771,0,0,1,1,66283,43750,39771,83521
2,66283,42875,0,0,1,1,66283,118098,42875,160973
2,66297,61623,0,0,1,1,66297,8,184869,184877
2,66303,1,0,0,4,1,66303,250000,1,250001
2,66339,6031,0,0,1,1,66339,281216,42217,323433
2,66339,28561,0,0,1,1,66339,73926,28561,102487
2,66405,27,0,0,1,1,66405,150898,27,150925
2,66405,27,0,0,1,1,66405,225544,81,225625
2,66415,625,0,0,1,1,66415,462722,625,463347
2,66415,9477,0,0,1,1,66415,512,85293,85805
2,66435,81,0,0,1,1,66435,103000,243,103243
2,66493,1,0,0,1,1,66493,71874,1,71875
2,66493,1,0,0,2,1,66493,202124,1,202125
2,66493,1,0,0,2,1,66493,210924,1,210925
2,66493,1,0,0,4,1,66493,421200,1,421201
2,66493,1,0,0,8,1,66493,76544,1,76545
2,66493,7,0,0,1,1,66493,173696,49,173745
2,66493,25,0,0,1,1,66493,124384,125,124509
2,66493,121,0,0,1,1,66493,546750,121,546871
2,66493,343,0,0,1,1,66493,151250,343,151593
2,66493,343,0,0,1,1,66493,203904,2401,206305
2,66493,625,0,0,1,1,66493,324576,3125,327701
2,66493,729,0,0,1,1,66493,249688,2187,251875
2,66493,2187,0,0,1,1,66493,155848,6561,162409
2,66493,2401,0,0,1,1,66493,140800,21609,162409
2,66493,3835,0,0,1,1,66493,24576,49855,74431
2,66493,4375,0,0,1,1,66493,173696,30625,204321
2,66493,4375,0,0,1,1,66493,249216,30625,279841
2,66493,5103,0,0,1,1,66493,42592,25515,68107
2,66493,5915,0,0,1,1,66493,234112,41405,275517
2,66493,6075,0,0,1,1,66493,178802,6075,184877
2,66493,7375,0,0,1,1,66493,82026,7375,89401
2,66493,8525,0,0,1,1,66493,2048,93775,95823
2,66493,9261,0,0,1,1,66493,136214,9261,145475
2,66493,11661,0,0,1,1,66493,96250,11661,107911
2,66493,12167,0,0,1,1,66493,356950,12167,369117
2,66493,12167,0,0,1,1,66493,536238,12167,548405
2,66493,12493,0,0,1,1,66493,73600,87451,161051
2,66493,14927,0,0,1,1,66493,1968128,164197,2132325
2,66493,15625,0,0,1,1,66493,58806,15625,74431
2,66493,15625,0,0,1,1,66493,128,109375,109503
2,66493,16107,0,0,1,1,66493,512,144963,145475
2,66493,16399,0,0,1,1,66493,101250,16399,117649
2,66493,16875,0,0,1,1,66493,57122,16875,73997
2,66493,19683,0,0,1,1,66493,628342,19683,648025
2,66493,24025,0,0,1,1,66493,1647086,24025,1671111
2,66493,24167,0,0,1,1,66493,85750,24167,109917
2,66493,28561,0,0,1,1,66493,79350,28561,107911
2,66493,29095,0,0,1,1,66493,148862,29095,177957
2,66493,29791,0,0,1,1,66493,48334,29791,78125
2,66493,29791,0,0,1,1,66493,134784,208537,343321
2,66493,31941,0,0,1,1,66493,253952,415233,669185
2,66493,32805,0,0,1,1,66493,238328,98415,336743
2,66493,33275,0,0,1,1,66493,51894,33275,85169
2,66493,33275,0,0,1,1,66493,62422,33275,95697
2,66493,33453,0,0,1,1,66493,80000,234171,314171
2,66493,34375,0,0,1,1,66493,73278,34375,107653
2,66493,35937,0,0,1,1,66493,163990,35937,199927
2,66493,36875,0,0,1,1,66493,44206,36875,81081
2,66493,39675,0,0,1,1,66493,30208,357075,387283
2,66493,39825,0,0,1,1,66493,34606,39825,74431
2,66493,41067,0,0,1,1,66493,76582,41067,117649
2,66493,45253,0,0,1,1,66493,31104,316771,347875
2,66493,45253,0,0,1,1,66493,47104,497783,544887
2,66493,45253,0,0,1,1,66493,270848,407277,678125
2,66493,47089,0,0,1,1,66493,128,329623,329751
2,66493,52855,0,0,1,1,66493,399854,52855,452709
2,66493,59049,0,0,1,1,66493,24986,59049,84035
2,66493,59049,0,0,1,1,66493,240250,59049,299299
2,66493,59049,0,0,1,1,66493,694784,531441,1226225
2,66493,60835,0,0,1,1,66493,6962,60835,67797
2,66493,62127,0,0,1,1,66493,146410,62127,208537
2,66493,66309,0,0,1,1,66493,1000,198927,199927
2,66495,1,0,0,2,1,66495,72500,1,72501
2,66495,3125,0,0,1,1,66495,73376,15625,89001
2,66495,29791,0,0,1,1,66495,48334,29791,78125
2,66495,47125,0,0,1,1,66495,23958,47125,71083
2,132006,11094,0,0,2,2,66003,39296,38829,78125
2,132066,2,0,0,2,2,66033,71874,1,71875
2,132066,2,0,0,2,2,66033,168750,1,168751
2,132066,2,0,0,4,2,66033,925100,1,925101
2,132066,36250,0,0,2,2,66033,85698,18125,103823
2,132086,14,0,0,2,2,66043,97920,49,97969
2,132086,162,0,0,2,2,66043,506530,81,506611
2,132086,50706,0,0,2,2,66043,25088,228177,253265
2,132126,2,0,0,2,2,66063,101250,1,101251
2,132126,2,0,0,8,2,66063,130320,1,130321
2,132170,12250,0,0,2,2,66085,134272,42875,177147
2,132182,44062,0,0,2,2,66091,126846,22031,148877
2,132198,33614,0,0,2,2,66099,12672,117649,130321
2,132366,21350,0,0,2,2,66183,57122,10675,67797
2,132366,52390,0,0,2,2,66183,119072,130975,250047
2,132366,96746,0,0,2,2,66183,281250,48373,329623
2,132366,118098,0,0,2,2,66183,24986,59049,84035
2,132370,2,0,0,4,2,66185,465124,1,465125
2,132426,2,0,0,2,2,66213,76874,1,76875
2,132426,2,0,0,4,2,66213,142884,1,142885
2,132426,23534,0,0,2,2,66213,1152,82369,83521
2,132426,68590,0,0,2,2,66213,90774,34295,125069
2,132426,126350,0,0,2,2,66213,89216,442225,531441
2,132506,29282,0,0,2,2,66253,10144,73205,83349
2,132506,33614,0,0,2,2,66253,12672,117649,130321
2,132566,79542,0,0,2,2,66283,43750,39771,83521
2,132566,85750,0,0,2,2,66283,118098,42875,160973
2,132594,123246,0,0,2,2,66297,8,184869,184877
2,132606,2,0,0,8,2,66303,250000,1,250001
2,132678,12062,0,0,2,2,66339,281216,42217,323433
2,132678,57122,0,0,2,2,66339,73926,28561,102487
2,132810,54,0,0,2,2,66405,150898,27,150925
2,132810,54,0,0,2,2,66405,225544,81,225625
2,132830,1250,0,0,2,2,66415,462722,625,463347
2,132830,18954,0,0,2,2,66415,512,85293,85805
2,132870,162,0,0,2,2,66435,103000,243,103243
2,132986,2,0,0,2,2,66493,71874,1,71875
2,132986,2,0,0,4,2,66493,202124,1,202125
2,132986,2,0,0,4,2,66493,210924,1,210925
2,132986,2,0,0,8,2,66493,421200,1,421201
2,132986,2,0,0,16,2,66493,76544,1,76545
2,132986,14,0,0,2,2,66493,173696,49,173745
2,132986,50,0,0,2,2,66493,124384,125,124509
2,132986,242,0,0,2,2,66493,546750,121,546871
2,132986,686,0,0,2,2,66493,151250,343,151593
2,132986,686,0,0,2,2,66493,203904,2401,206305
2,132986,1250,0,0,2,2,66493,324576,3125,327701
2,132986,1458,0,0,2,2,66493,249688,2187,251875
2,132986,4374,0,0,2,2,66493,155848,6561,162409
2,132986,4802,0,0,2,2,66493,140800,21609,162409
2,132986,7670,0,0,2,2,66493,24576,49855,74431
2,132986,8750,0,0,2,2,66493,173696,30625,204321
2,132986,8750,0,0,2,2,66493,249216,30625,279841
2,132986,10206,0,0,2,2,66493,42592,25515,68107
2,132986,11830,0,0,2,2,66493,234112,41405,275517
2,132986,12150,0,0,2,2,66493,178802,6075,184877
2,132986,14750,0,0,2,2,66493,82026,7375,89401
2,132986,17050,0,0,2,2,66493,2048,93775,95823
2,132986,18522,0,0,2,2,66493,136214,9261,145475
2,132986,23322,0,0,2,2,66493,96250,11661,107911
2,132986,24334,0,0,2,2,66493,356950,12167,369117
2,132986,24334,0,0,2,2,66493,536238,12167,548405
2,132986,24986,0,0,2,2,66493,73600,87451,161051
2,132986,29854,0,0,2,2,66493,1968128,164197,2132325
2,132986,31250,0,0,2,2,66493,58806,15625,74431
2,132986,31250,0,0,2,2,66493,128,109375,109503
2,132986,32214,0,0,2,2,66493,512,144963,145475
2,132986,32798,0,0,2,2,66493,101250,16399,117649
2,132986,33750,0,0,2,2,66493,57122,16875,73997
2,132986,39366,0,0,2,2,66493,628342,19683,648025
2,132986,48050,0,0,2,2,66493,1647086,24025,1671111
2,132986,48334,0,0,2,2,66493,85750,24167,109917
2,132986,57122,0,0,2,2,66493,79350,28561,107911
2,132986,58190,0,0,2,2,66493,148862,29095,177957
2,132986,59582,0,0,2,2,66493,48334,29791,78125
2,132986,59582,0,0,2,2,66493,134784,208537,343321
2,132986,63882,0,0,2,2,66493,253952,415233,669185
2,132986,65610,0,0,2,2,66493,238328,98415,336743
2,132986,66550,0,0,2,2,66493,51894,33275,85169
2,132986,66550,0,0,2,2,66493,62422,33275,95697
2,132986,66906,0,0,2,2,66493,80000,234171,314171
2,132986,68750,0,0,2,2,66493,73278,34375,107653
2,132986,71874,0,0,2,2,66493,163990,35937,199927
2,132986,73750,0,0,2,2,66493,44206,36875,81081
2,132986,79350,0,0,2,2,66493,30208,357075,387283
2,132986,79650,0,0,2,2,66493,34606,39825,74431
2,132986,82134,0,0,2,2,66493,76582,41067,117649
2,132986,90506,0,0,2,2,66493,31104,316771,347875
2,132986,90506,0,0,2,2,66493,47104,497783,544887
2,132986,90506,0,0,2,2,66493,270848,407277,678125
2,132986,94178,0,0,2,2,66493,128,329623,329751
2,132986,105710,0,0,2,2,66493,399854,52855,452709
2,132986,118098,0,0,2,2,66493,24986,59049,84035
2,132986,118098,0,0,2,2,66493,240250,59049,299299
2,132986,118098,0,0,2,2,66493,694784,531441,1226225
2,132986,121670,0,0,2,2,66493,6962,60835,67797
2,132986,124254,0,0,2,2,66493,146410,62127,208537
2,132986,132618,0,0,2,2,66493,1000,198927,199927
2,132990,2,0,0,4,2,66495,72500,1,72501
2,132990,6250,0,0,2,2,66495,73376,15625,89001
2,132990,59582,0,0,2,2,66495,48334,29791,78125
2,132990,94250,0,0,2,2,66495,23958,47125,71083
