U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
17,2080,40,0,0,10,10,208,221,4,225
17,2080,40,0,0,10,10,208,867,8,875
17,2080,108,0,0,4,4,520,2873,27,2900
17,2080,1024,0,0,16,16,130,561,64,625
17,2080,1250,0,0,10,10,208,442,125,567
17,2080,1296,0,0,16,16,130,544,81,625
17,2080,1300,0,0,52,52,40,119,25,144
17,2088,48,0,0,6,6,348,833,8,841
17,2088,48,0,0,12,12,174,289,8,297
17,2088,150,0,0,6,6,348,816,25,841
17,2088,324,0,0,36,36,58,136,9,145
17,2088,2088,0,0,36,36,58,289,116,405
17,2090,400,0,0,5,5,418,459,80,539
17,2090,560,0,0,5,5,418,289,224,513
17,2090,570,0,0,5,5,418,425,114,539
17,2090,1080,0,0,5,5,418,323,216,539
17,2090,1250,0,0,5,5,418,833,250,1083
17,2090,1760,0,0,5,5,418,323,352,675
17,2090,2090,0,0,5,5,418,289,836,1125
17,2096,128,0,0,2,2,1048,5831,64,5895
17,2096,1250,0,0,2,2,1048,833,625,1458
17,2098,1029,0,0,1,1,2098,4913,3087,8000
17,2100,224,0,0,14,14,150,459,16,475
17,2100,250,0,0,10,10,210,1088,25,1113
17,2100,567,0,0,7,7,300,544,81,625
17,2100,1029,0,0,1,1,2100,4913,3087,8000
17,2100,1029,0,0,3,3,700,425,343,768
17,2100,1029,0,0,3,3,700,289,686,975
17,2100,1250,0,0,2,2,1050,833,625,1458
17,2100,2100,0,0,75,75,28,17,28,45
17,2104,4,0,0,4,4,526,1088,1,1089
17,2106,729,0,0,3,3,702,1088,243,1331
17,2108,2108,0,0,17,17,124,119,124,243
17,2112,4,0,0,4,4,528,1088,1,1089
17,2112,1024,0,0,1,1,2112,1377,1024,2401
17,2112,1296,0,0,16,16,132,187,81,268
17,2112,2112,0,0,33,33,64,17,64,81
17,2120,424,0,0,2,2,1060,1003,212,1215
17,2120,1325,0,0,53,53,40,119,25,144
17,2124,18,0,0,18,18,118,255,1,256
17,2124,243,0,0,3,3,708,3400,81,3481
17,2128,343,0,0,1,1,2128,6137,343,6480
17,2128,513,0,0,19,19,112,289,54,343
17,2128,2128,0,0,19,19,112,289,224,513
17,2128,2128,0,0,76,76,28,17,28,45
17,2130,1775,0,0,1,1,2130,2788,1775,4563
17,2144,648,0,0,8,8,268,544,81,625
17,2146,333,0,0,37,37,58,136,9,145
17,2146,2146,0,0,37,37,58,289,116,405
17,2152,324,0,0,4,4,538,544,81,625
17,2156,14,0,0,14,14,154,1088,1,1089
17,2156,256,0,0,2,2,1078,1445,256,1701
17,2156,800,0,0,2,2,1078,289,800,1089
17,2156,2058,0,0,2,2,1078,4913,3087,8000
17,2156,2156,0,0,77,77,28,17,28,45
17,2160,18,0,0,18,18,120,255,1,256
17,2160,36,0,0,9,9,240,289,8,297
17,2160,45,0,0,5,5,432,952,9,961
17,2160,324,0,0,4,4,540,544,81,625
17,2160,324,0,0,12,12,180,289,54,343
17,2160,500,0,0,20,20,108,272,25,297
17,2160,500,0,0,20,20,108,459,25,484
17,2160,640,0,0,5,5,432,833,128,961
17,2160,1350,0,0,54,54,40,119,25,144
17,2160,2160,0,0,20,20,108,17,108,125
17,2164,2164,0,0,1,1,2164,289,4328,4617
17,2170,504,0,0,7,7,310,2125,72,2197
17,2170,640,0,0,5,5,434,833,128,961
17,2170,1728,0,0,1,1,2170,3077,1728,4805
17,2176,2176,0,0,34,34,64,17,64,81
17,2178,704,0,0,11,11,198,561,64,625
17,2178,891,0,0,11,11,198,544,81,625
17,2180,144,0,0,2,2,1090,2125,72,2197
17,2180,450,0,0,2,2,1090,2176,225,2401
17,2180,654,0,0,2,2,1090,2873,327,3200
17,2180,2048,0,0,2,2,1090,1377,1024,2401
17,2184,16,0,0,4,4,546,2873,4,2877
17,2184,288,0,0,4,4,546,2329,72,2401
17,2184,637,0,0,13,13,168,680,49,729
17,2184,2048,0,0,2,2,1092,1377,1024,2401
17,2184,2184,0,0,13,13,168,289,336,625
17,2184,2184,0,0,78,78,28,17,28,45
17,2190,320,0,0,5,5,438,561,64,625
17,2190,405,0,0,5,5,438,544,81,625
17,2190,1971,0,0,1,1,2190,2125,1971,4096
17,2198,1331,0,0,1,1,2198,2669,1331,4000
17,2200,10,0,0,10,10,220,255,1,256
17,2200,10,0,0,10,10,220,374,1,375
17,2200,10,0,0,10,10,220,1088,1,1089
17,2200,1350,0,0,10,10,220,272,135,407
17,2200,1375,0,0,55,55,40,119,25,144
17,2200,2200,0,0,10,10,220,289,440,729
17,2204,342,0,0,38,38,58,136,9,145
17,2204,2204,0,0,38,38,58,289,116,405
17,2208,2,0,0,2,2,1104,1343,1,1344
17,2208,2,0,0,2,2,1104,5831,1,5832
17,2208,64,0,0,16,16,138,867,8,875
17,2208,1120,0,0,16,16,138,459,70,529
17,2210,1088,0,0,17,17,130,561,64,625
17,2210,1377,0,0,17,17,130,544,81,625
17,2212,1024,0,0,1,1,2212,1377,1024,2401
17,2212,2212,0,0,79,79,28,17,28,45
17,2214,27,0,0,3,3,738,1360,9,1369
17,2216,486,0,0,2,2,1108,2125,243,2368
17,2216,554,0,0,2,2,1108,2720,277,2997
17,2220,370,0,0,10,10,222,306,37,343
17,2220,486,0,0,2,2,1110,2125,243,2368
17,2220,486,0,0,6,6,370,544,81,625
17,2220,600,0,0,6,6,370,629,100,729
17,2220,605,0,0,1,1,2220,4131,605,4736
17,2220,1110,0,0,6,6,370,544,185,729
17,2226,1,0,0,1,1,2226,5831,1,5832
17,2226,1008,0,0,3,3,742,289,672,961
17,2232,162,0,0,2,2,1116,1768,81,1849
17,2232,2232,0,0,18,18,124,119,124,243
17,2240,64,0,0,2,2,1120,1683,32,1715
17,2240,216,0,0,8,8,280,289,54,343
17,2240,540,0,0,20,20,112,289,54,343
17,2240,1400,0,0,56,56,40,119,25,144
17,2240,2240,0,0,20,20,112,289,224,513
17,2240,2240,0,0,35,35,64,17,64,81
17,2240,2240,0,0,80,80,28,17,28,45
17,2242,19,0,0,19,19,118,255,1,256
17,2244,1377,0,0,17,17,132,187,81,268
17,2250,240,0,0,15,15,150,459,16,475
17,2250,675,0,0,3,3,750,799,225,1024
17,2254,7,0,0,7,7,322,391,1,392
17,2254,1081,0,0,1,1,2254,5831,1081,6912
17,2256,12,0,0,12,12,188,799,1,800
17,2256,24,0,0,6,6,376,2397,4,2401
17,2256,1920,0,0,2,2,1128,289,1920,2209
17,2260,1,0,0,1,1,2260,13311,1,13312
17,2260,783,0,0,1,1,2260,1921,783,2704
17,2260,2175,0,0,1,1,2260,1921,2175,4096
17,2262,1,0,0,1,1,2262,13311,1,13312
17,2262,24,0,0,3,3,754,833,8,841
17,2262,52,0,0,13,13,174,289,8,297
17,2262,351,0,0,39,39,58,136,9,145
17,2262,1911,0,0,3,3,754,204,637,841
17,2262,2262,0,0,39,39,58,289,116,405
17,2268,24,0,0,6,6,378,867,8,875
17,2268,525,0,0,21,21,108,272,25,297
17,2268,525,0,0,21,21,108,459,25,484
17,2268,750,0,0,6,6,378,323,125,448
17,2268,1029,0,0,1,1,2268,4913,3087,8000
17,2268,1350,0,0,6,6,378,2176,225,2401
17,2268,2166,0,0,6,6,378,119,361,480
17,2268,2166,0,0,6,6,378,2040,361,2401
17,2268,2268,0,0,21,21,108,17,108,125
17,2268,2268,0,0,81,81,28,17,28,45
17,2272,36,0,0,4,4,568,1207,9,1216
17,2272,2272,0,0,4,4,568,289,1136,1425
17,2274,2274,0,0,3,3,758,289,1516,1805
17,2276,2276,0,0,2,2,1138,289,2276,2565
17,2280,19,0,0,19,19,120,255,1,256
17,2280,90,0,0,10,10,228,391,9,400
17,2280,225,0,0,1,1,2280,2176,225,2401
17,2280,361,0,0,1,1,2280,2040,361,2401
17,2280,361,0,0,1,1,2280,9639,361,10000
17,2280,648,0,0,3,3,760,2159,216,2375
17,2280,988,0,0,4,4,570,2057,247,2304
17,2280,1024,0,0,1,1,2280,1377,1024,2401
17,2280,1141,0,0,1,1,2280,8075,1141,9216
17,2280,1425,0,0,57,57,40,119,25,144
17,2280,1600,0,0,4,4,570,289,800,1089
17,2286,2048,0,0,1,1,2286,11271,4096,15367
17,2288,44,0,0,11,11,208,221,4,225
17,2288,44,0,0,11,11,208,867,8,875
17,2288,486,0,0,2,2,1144,1088,243,1331
17,2288,1375,0,0,11,11,208,442,125,567
17,2292,16,0,0,1,1,2292,8959,32,8991
17,2296,1,0,0,1,1,2296,5831,1,5832
17,2296,128,0,0,4,4,574,697,32,729
17,2296,196,0,0,4,4,574,1632,49,1681
17,2296,287,0,0,7,7,328,459,41,500
17,2296,1701,0,0,7,7,328,1088,243,1331
17,2296,2296,0,0,82,82,28,17,28,45
17,2300,5,0,0,5,5,460,1088,1,1089
17,2300,5,0,0,5,5,460,1224,1,1225
17,2300,5,0,0,5,5,460,1700,1,1701
17,2300,5,0,0,5,5,460,2057,1,2058
17,2300,5,0,0,5,5,460,2499,1,2500
17,2300,5,0,0,5,5,460,3519,1,3520
17,2300,600,0,0,5,5,460,289,240,529
17,2300,1280,0,0,5,5,460,833,256,1089
17,2300,1715,0,0,5,5,460,425,343,768
17,2300,1715,0,0,5,5,460,782,343,1125
17,2300,1715,0,0,5,5,460,2057,343,2400
17,2304,729,0,0,3,3,768,1088,243,1331
17,2304,1029,0,0,3,3,768,2057,343,2400
17,2304,2304,0,0,36,36,64,17,64,81
17,2308,98,0,0,1,1,2308,3179,196,3375
17,2310,15,0,0,15,15,154,1088,1,1089
17,2310,275,0,0,11,11,210,1088,25,1113
17,2310,1215,0,0,5,5,462,1088,243,1331
17,2316,1024,0,0,2,2,1158,2601,1024,3625
17,2320,360,0,0,40,40,58,136,9,145
17,2320,1450,0,0,58,58,40,119,25,144
17,2320,2048,0,0,4,4,580,2601,1024,3625
17,2320,2320,0,0,40,40,58,289,116,405
17,2324,2324,0,0,83,83,28,17,28,45
17,2334,1167,0,0,3,3,778,1275,389,1664
17,2336,1898,0,0,2,2,1168,289,1898,2187
17,2336,1898,0,0,2,2,1168,2176,949,3125
17,2336,2336,0,0,8,8,292,51,292,343
17,2338,334,0,0,1,1,2338,4913,1002,5915
17,2338,567,0,0,7,7,334,1088,81,1169
17,2338,1029,0,0,1,1,2338,4913,3087,8000
17,2340,6,0,0,6,6,390,1224,1,1225
17,2340,6,0,0,6,6,390,1700,1,1701
17,2340,6,0,0,6,6,390,2499,1,2500
17,2340,96,0,0,6,6,390,425,16,441
17,2340,351,0,0,13,13,180,289,54,343
17,2340,640,0,0,1,1,2340,2873,640,3513
17,2340,1014,0,0,6,6,390,272,169,441
17,2340,1152,0,0,18,18,130,561,64,625
17,2340,1458,0,0,18,18,130,544,81,625
17,2340,1536,0,0,6,6,390,2023,512,2535
17,2346,68,0,0,17,17,138,867,8,875
17,2346,1190,0,0,17,17,138,459,70,529
17,2348,2,0,0,2,2,1174,5831,1,5832
17,2350,4,0,0,1,1,2350,2397,4,2401
17,2350,225,0,0,1,1,2350,2176,225,2401
17,2350,1024,0,0,1,1,2350,1377,1024,2401
17,2352,567,0,0,21,21,112,289,54,343
17,2352,686,0,0,14,14,168,680,49,729
17,2352,2352,0,0,14,14,168,289,336,625
17,2352,2352,0,0,21,21,112,289,224,513
17,2352,2352,0,0,84,84,28,17,28,45
17,2356,2356,0,0,19,19,124,119,124,243
17,2360,20,0,0,20,20,118,255,1,256
17,2360,1475,0,0,59,59,40,119,25,144
17,2364,1,0,0,1,1,2364,5831,1,5832
17,2364,1458,0,0,6,6,394,1088,243,1331
17,2368,925,0,0,1,1,2368,4131,925,5056
17,2368,2368,0,0,37,37,64,17,64,81
17,2370,24,0,0,3,3,790,2125,8,2133
17,2376,4,0,0,4,4,594,1088,1,1089
17,2376,64,0,0,2,2,1188,1683,32,1715
17,2376,550,0,0,22,22,108,272,25,297
17,2376,550,0,0,22,22,108,459,25,484
17,2376,768,0,0,12,12,198,561,64,625
17,2376,972,0,0,12,12,198,544,81,625
17,2376,1458,0,0,6,6,396,1088,243,1331
17,2376,1458,0,0,18,18,132,187,81,268
17,2376,1681,0,0,1,1,2376,1683,1681,3364
17,2376,2376,0,0,22,22,108,17,108,125
17,2378,369,0,0,41,41,58,136,9,145
17,2378,2378,0,0,41,41,58,289,116,405
17,2380,252,0,0,7,7,340,289,72,361
17,2380,2380,0,0,85,85,28,17,28,45
17,2388,48,0,0,3,3,796,1377,16,1393
17,2388,2048,0,0,2,2,1194,1173,1024,2197
17,2394,3,0,0,3,3,798,1224,1,1225
17,2394,3,0,0,3,3,798,1700,1,1701
17,2394,3,0,0,3,3,798,2499,1,2500
17,2394,3,0,0,3,3,798,5831,1,5832
17,2394,252,0,0,7,7,342,289,72,361
17,2394,768,0,0,3,3,798,969,256,1225
17,2400,20,0,0,20,20,120,255,1,256
17,2400,40,0,0,10,10,240,289,8,297
17,2400,256,0,0,16,16,150,459,16,475
17,2400,648,0,0,8,8,300,544,81,625
