two_nonunit_cutoff_max_D=16583
two_nonunit_degree_max=224
two_nonunit_linear_bound=D<19d
two_nonunit_endpoint_valuation_max=14
coefficient_transition_table=PASS
envelope_monotone_for_D>=11=calculus
columns=U,D_cap,linear_D_over_d_bound,max_degree
2,6816241,48,143799
3,1230611,27,45934
4,508652,20,25488
5,286175,17,17370
6,188395,15,13145
7,136208,13,10589
8,104733,12,8887
9,84090,11,7677
10,69701,11,6774
11,59198,10,6075
12,51249,10,5518
13,45056,9,5064
14,40115,9,4687
15,36095,9,4368
16,32767,8,4095
17,29975,8,3859
18,27601,8,3653
19,25561,8,3470
20,23792,8,3308
21,22244,8,3163
22,20880,7,3033
23,19670,7,2914
24,18589,7,2806
25,17619,7,2708
26,16743,7,2617
table_sha256=85d4a9d5ea1284f42c1becd69386815e608237a1072f714ccf0740c531dbaa4f
