U,V,d,su1,su2,su3,su4,su5,sv1,sv2,sv3,sv4,sv5,r,t,e,a,b,n
2,3,33,3,0,0,0,0,20,0,0,0,0,1,1,33,40,9,49
2,3,35,3,0,0,0,0,20,0,0,0,0,1,1,35,40,9,49
2,3,53,27,0,0,0,0,10,0,0,0,0,1,1,53,40,81,121
2,3,55,27,0,0,0,0,10,0,0,0,0,1,1,55,40,81,121
2,3,65,39,0,0,0,0,4,0,0,0,0,1,1,65,8,117,125
2,3,78,78,0,0,0,0,8,0,0,0,0,2,1,78,8,117,125
2,3,83,83,0,0,0,0,40,0,0,0,0,1,1,83,40,249,289
2,3,106,54,0,0,0,0,20,0,0,0,0,2,2,53,40,81,121
2,3,108,54,0,0,0,0,20,0,0,0,0,2,1,108,40,81,121
2,3,110,54,0,0,0,0,20,0,0,0,0,2,2,55,40,81,121
2,3,115,39,0,0,0,0,4,0,0,0,0,1,1,115,8,117,125
2,3,133,27,0,0,0,0,70,0,0,0,0,1,1,133,280,81,361
2,3,143,27,0,0,0,0,22,0,0,0,0,1,1,143,88,81,169
2,3,166,166,0,0,0,0,80,0,0,0,0,2,2,83,40,249,289
2,3,185,75,0,0,0,0,32,0,0,0,0,1,1,185,32,375,407
2,3,203,29,0,0,0,0,200,0,0,0,0,1,1,203,200,87,287
2,5,19,5,0,0,0,0,16,0,0,0,0,1,1,19,32,25,57
2,5,38,10,0,0,0,0,32,0,0,0,0,2,2,19,32,25,57
2,5,61,25,0,0,0,0,61,0,0,0,0,1,1,61,122,25,147
2,5,109,25,0,0,0,0,109,0,0,0,0,1,1,109,218,25,243
2,5,117,25,0,0,0,0,32,0,0,0,0,1,1,117,96,125,221
2,5,122,50,0,0,0,0,122,0,0,0,0,2,2,61,122,25,147
2,5,159,25,0,0,0,0,159,0,0,0,0,1,1,159,318,25,343
2,5,159,35,0,0,0,0,16,0,0,0,0,1,1,159,32,175,207
2,5,169,95,0,0,0,0,16,0,0,0,0,1,1,169,32,475,507
2,5,187,135,0,0,0,0,154,0,0,0,0,1,1,187,154,135,289
2,5,201,145,0,0,0,0,98,0,0,0,0,1,1,201,98,145,243
2,5,207,81,0,0,0,0,32,0,0,0,0,1,1,207,32,405,437
2,5,218,50,0,0,0,0,218,0,0,0,0,2,2,109,218,25,243
2,7,93,49,0,0,0,0,4,0,0,0,0,1,1,93,8,147,155
