U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,32005,15625,0,0,1,1,32005,21338,15625,36963
2,32013,6859,0,0,1,1,32013,106710,6859,113569
2,32023,25,0,0,1,1,32023,354294,25,354319
2,32043,1,0,0,1,1,32043,78650,1,78651
2,32043,1,0,0,2,1,32043,72500,1,72501
2,32043,5265,0,0,1,1,32043,48778,5265,54043
2,32043,12623,0,0,1,1,32043,29282,12623,41905
2,32045,12731,0,0,1,1,32045,42194,12731,54925
2,32065,121,0,0,4,1,32065,63504,121,63625
2,32065,3375,0,0,1,1,32065,117128,10125,127253
2,32085,1,0,0,1,1,32085,64000,9,64009
2,32085,1,0,0,1,1,32085,71874,1,71875
2,32085,2511,0,0,1,1,32085,11776,22599,34375
2,32095,49,0,0,4,1,32095,274576,49,274625
2,32095,5109,0,0,1,1,32095,25000,15327,40327
2,32095,9477,0,0,1,1,32095,512,85293,85805
2,32095,15625,0,0,1,1,32095,240254,15625,255879
2,32145,9,0,0,1,1,32145,130696,27,130723
2,32175,1,0,0,1,1,32175,64000,9,64009
2,32175,1,0,0,1,1,32175,71874,1,71875
2,32175,529,0,0,1,1,32175,168750,529,169279
2,32175,12591,0,0,1,1,32175,8192,163683,171875
2,32193,81,0,0,1,1,32193,42632,243,42875
2,32200,50,0,0,4,1,32200,50176,125,50301
2,32200,100,0,0,8,1,32200,50176,125,50301
2,32205,1,0,0,4,1,32205,46224,1,46225
2,32205,1,0,0,4,1,32205,117648,1,117649
2,32205,243,0,0,1,1,32205,91592,729,92321
2,32205,535,0,0,1,1,32205,32768,8025,40793
2,32205,6859,0,0,1,1,32205,39366,6859,46225
2,32205,8667,0,0,1,1,32205,14792,26001,40793
2,32205,26001,0,0,1,1,32205,310072,78003,388075
2,32263,2187,0,0,1,1,32263,57838,2187,60025
2,32275,11619,0,0,1,1,32275,128,81333,81461
2,32275,21141,0,0,1,1,32275,5000,63423,68423
2,32305,1,0,0,2,1,32305,94500,1,94501
2,32305,2197,0,0,1,1,32305,53250,2197,55447
2,32305,2695,0,0,1,1,32305,165888,29645,195533
2,32305,6875,0,0,1,1,32305,63368,20625,83993
2,32305,7921,0,0,1,1,32305,33614,7921,41535
2,32305,7921,0,0,1,1,32305,306250,7921,314171
2,32305,11999,0,0,1,1,32305,59290,11999,71289
2,32305,11999,0,0,1,1,32305,117128,35997,153125
2,32305,28561,0,0,1,1,32305,43610,28561,72171
2,32338,2,0,0,2,1,32338,64000,9,64009
2,32338,4,0,0,4,1,32338,64000,9,64009
2,32338,8,0,0,8,1,32338,64000,9,64009
2,32355,9477,0,0,1,1,32355,512,85293,85805
2,32373,1369,0,0,1,1,32373,83006,1369,84375
2,32373,11907,0,0,1,1,32373,354904,35721,390625
2,32373,16807,0,0,1,1,32373,48000,117649,165649
2,32383,2187,0,0,1,1,32383,259064,6561,265625
2,32383,2809,0,0,1,1,32383,109850,2809,112659
2,32383,3429,0,0,1,1,32383,24064,30861,54925
2,32383,4913,0,0,1,1,32383,156250,4913,161163
2,32383,19683,0,0,1,1,32383,5408,98415,103823
2,32383,23409,0,0,1,1,32383,32,117045,117077
2,32383,23829,0,0,1,1,32383,9826,23829,33655
2,32415,15309,0,0,1,1,32415,53888,107163,161051
2,32428,2,0,0,2,1,32428,64000,9,64009
2,32428,4,0,0,4,1,32428,64000,9,64009
2,32428,8,0,0,8,1,32428,64000,9,64009
2,32445,10609,0,0,1,1,32445,24678,10609,35287
2,32451,12393,0,0,1,1,32451,6728,37179,43907
2,32485,1,0,0,2,1,32485,336140,1,336141
2,32485,81,0,0,1,1,32485,42632,243,42875
2,32485,5329,0,0,1,1,32485,31850,5329,37179
2,32485,26645,0,0,1,1,32485,148096,186515,334611
2,32565,2349,0,0,1,1,32565,166400,21141,187541
2,32569,81,0,0,1,1,32569,65138,81,65219
2,32583,625,0,0,1,1,32583,412718,625,413343
2,32613,7765,0,0,1,1,32613,32928,38825,71753
2,32625,9,0,0,2,1,32625,69620,9,69629
