d,r,t,e,a,b,n,defect_rad
4,1,1,4,1,8,9,1
4,7,1,4,1,8,9,7
4,11,1,4,1,8,9,11
4,13,1,4,1,8,9,13
4,17,1,4,1,8,9,17
4,19,1,4,1,8,9,19
4,23,1,4,1,8,9,23
4,29,1,4,1,8,9,29
4,31,1,4,1,8,9,31
4,37,1,4,1,8,9,37
4,41,1,4,1,8,9,41
4,43,1,4,1,8,9,43
4,47,1,4,1,8,9,47
4,49,1,4,1,8,9,7
4,53,1,4,1,8,9,53
4,59,1,4,1,8,9,59
4,61,1,4,1,8,9,61
10,1,1,10,1,15,16,1
10,1,1,10,1,24,25,1
10,1,1,10,9,16,25,1
10,1,1,10,2,25,27,1
10,1,1,10,5,27,32,1
10,1,1,10,1,80,81,1
10,1,1,10,3,125,128,1
10,13,1,10,1,15,16,13
10,13,1,10,1,24,25,13
10,13,1,10,9,16,25,13
10,13,1,10,2,25,27,13
10,13,1,10,5,27,32,13
10,13,1,10,1,80,81,13
10,17,1,10,1,15,16,17
10,17,1,10,1,24,25,17
10,17,1,10,9,16,25,17
10,17,1,10,2,25,27,17
10,17,1,10,5,27,32,17
10,17,1,10,1,80,81,17
10,19,1,10,1,15,16,19
10,19,1,10,1,24,25,19
10,19,1,10,9,16,25,19
10,19,1,10,2,25,27,19
10,19,1,10,5,27,32,19
10,23,1,10,1,15,16,23
10,23,1,10,1,24,25,23
10,23,1,10,9,16,25,23
10,23,1,10,2,25,27,23
10,23,1,10,5,27,32,23
10,29,1,10,1,15,16,29
10,29,1,10,1,24,25,29
10,29,1,10,9,16,25,29
10,29,1,10,2,25,27,29
10,29,1,10,5,27,32,29
10,31,1,10,1,15,16,31
10,31,1,10,1,24,25,31
10,31,1,10,9,16,25,31
10,31,1,10,2,25,27,31
10,31,1,10,5,27,32,31
10,37,1,10,1,15,16,37
10,37,1,10,1,24,25,37
10,37,1,10,9,16,25,37
10,37,1,10,2,25,27,37
10,37,1,10,5,27,32,37
10,41,1,10,1,15,16,41
10,41,1,10,1,24,25,41
10,41,1,10,9,16,25,41
10,41,1,10,2,25,27,41
10,41,1,10,5,27,32,41
10,43,1,10,1,15,16,43
10,43,1,10,1,24,25,43
10,43,1,10,9,16,25,43
10,43,1,10,2,25,27,43
10,43,1,10,5,27,32,43
10,47,1,10,1,15,16,47
10,47,1,10,1,24,25,47
10,47,1,10,9,16,25,47
10,47,1,10,2,25,27,47
10,53,1,10,1,15,16,53
10,53,1,10,1,24,25,53
10,53,1,10,9,16,25,53
10,59,1,10,1,15,16,59
10,61,1,10,1,15,16,61
10,67,1,10,1,15,16,67
10,71,1,10,1,15,16,71
10,73,1,10,1,15,16,73
10,79,1,10,1,15,16,79
10,83,1,10,1,15,16,83
12,1,1,12,7,9,16,1
12,1,1,12,1,27,28,1
12,1,1,12,1,48,49,1
12,1,1,12,1,63,64,1
12,1,1,12,32,49,81,1
12,17,1,12,7,9,16,17
12,17,1,12,1,27,28,17
12,17,1,12,1,48,49,17
12,17,1,12,1,63,64,17
12,17,1,12,32,49,81,17
12,19,1,12,7,9,16,19
12,19,1,12,1,27,28,19
12,19,1,12,1,48,49,19
12,19,1,12,1,63,64,19
12,19,1,12,32,49,81,19
12,23,1,12,7,9,16,23
12,23,1,12,1,27,28,23
12,23,1,12,1,48,49,23
12,23,1,12,1,63,64,23
12,29,1,12,7,9,16,29
12,29,1,12,1,27,28,29
12,29,1,12,1,48,49,29
12,31,1,12,7,9,16,31
12,31,1,12,1,27,28,31
12,31,1,12,1,48,49,31
12,37,1,12,7,9,16,37
12,37,1,12,1,27,28,37
12,41,1,12,7,9,16,41
12,41,1,12,1,27,28,41
12,43,1,12,7,9,16,43
12,43,1,12,1,27,28,43
12,47,1,12,7,9,16,47
12,47,1,12,1,27,28,47
12,53,1,12,7,9,16,53
12,53,1,12,1,27,28,53
12,59,1,12,7,9,16,59
12,59,1,12,1,27,28,59
12,61,1,12,7,9,16,61
12,67,1,12,7,9,16,67
12,71,1,12,7,9,16,71
12,73,1,12,7,9,16,73
12,79,1,12,7,9,16,79
12,83,1,12,7,9,16,83
12,89,1,12,7,9,16,89
12,97,1,12,7,9,16,97
12,101,1,12,7,9,16,101
12,103,1,12,7,9,16,103
18,1,1,18,1,24,25,1
18,1,1,18,9,16,25,1
18,1,1,18,2,25,27,1
18,1,1,18,5,27,32,1
18,1,1,18,1,80,81,1
18,1,1,18,3,125,128,1
18,23,1,18,1,24,25,23
18,23,1,18,9,16,25,23
18,23,1,18,2,25,27,23
18,23,1,18,5,27,32,23
18,23,1,18,1,80,81,23
18,29,1,18,1,24,25,29
18,29,1,18,9,16,25,29
18,29,1,18,2,25,27,29
18,29,1,18,5,27,32,29
18,29,1,18,1,80,81,29
18,31,1,18,1,24,25,31
18,31,1,18,9,16,25,31
18,31,1,18,2,25,27,31
18,31,1,18,5,27,32,31
18,31,1,18,1,80,81,31
18,37,1,18,1,24,25,37
18,37,1,18,9,16,25,37
18,37,1,18,2,25,27,37
18,37,1,18,5,27,32,37
18,41,1,18,1,24,25,41
18,41,1,18,9,16,25,41
18,41,1,18,2,25,27,41
18,41,1,18,5,27,32,41
18,43,1,18,1,24,25,43
18,43,1,18,9,16,25,43
18,43,1,18,2,25,27,43
18,43,1,18,5,27,32,43
18,47,1,18,1,24,25,47
18,47,1,18,9,16,25,47
18,47,1,18,2,25,27,47
18,47,1,18,5,27,32,47
18,53,1,18,1,24,25,53
18,53,1,18,9,16,25,53
18,53,1,18,2,25,27,53
18,53,1,18,5,27,32,53
18,59,1,18,1,24,25,59
18,59,1,18,9,16,25,59
18,59,1,18,2,25,27,59
18,59,1,18,5,27,32,59
18,61,1,18,1,24,25,61
18,61,1,18,9,16,25,61
18,61,1,18,2,25,27,61
18,61,1,18,5,27,32,61
18,67,1,18,1,24,25,67
18,67,1,18,9,16,25,67
18,67,1,18,2,25,27,67
18,67,1,18,5,27,32,67
18,71,1,18,1,24,25,71
18,71,1,18,9,16,25,71
18,71,1,18,2,25,27,71
18,71,1,18,5,27,32,71
18,73,1,18,1,24,25,73
18,73,1,18,9,16,25,73
18,73,1,18,2,25,27,73
18,73,1,18,5,27,32,73
18,79,1,18,1,24,25,79
18,79,1,18,9,16,25,79
18,79,1,18,2,25,27,79
18,83,1,18,1,24,25,83
18,83,1,18,9,16,25,83
18,83,1,18,2,25,27,83
18,89,1,18,1,24,25,89
18,89,1,18,9,16,25,89
18,89,1,18,2,25,27,89
18,97,1,18,1,24,25,97
18,97,1,18,9,16,25,97
20,1,1,20,4,121,125,1
20,2,2,10,1,24,25,1
20,2,2,10,9,16,25,1
20,2,2,10,2,25,27,1
20,2,2,10,5,27,32,1
20,2,2,10,1,80,81,1
20,2,2,10,3,125,128,1
20,13,2,10,1,24,25,13
20,13,2,10,9,16,25,13
20,13,2,10,2,25,27,13
20,13,2,10,5,27,32,13
20,13,2,10,1,80,81,13
20,13,2,10,3,125,128,13
20,17,2,10,1,24,25,17
20,17,2,10,9,16,25,17
20,17,2,10,2,25,27,17
20,17,2,10,5,27,32,17
20,17,2,10,1,80,81,17
20,17,2,10,3,125,128,17
20,19,2,10,1,24,25,19
20,19,2,10,9,16,25,19
20,19,2,10,2,25,27,19
20,19,2,10,5,27,32,19
20,19,2,10,1,80,81,19
20,19,2,10,3,125,128,19
20,23,2,10,1,24,25,23
20,23,2,10,9,16,25,23
20,23,2,10,2,25,27,23
20,23,2,10,5,27,32,23
20,23,2,10,1,80,81,23
20,26,2,10,1,24,25,13
20,26,2,10,9,16,25,13
20,26,2,10,2,25,27,13
20,26,2,10,5,27,32,13
20,26,2,10,1,80,81,13
20,29,2,10,1,24,25,29
20,29,2,10,9,16,25,29
20,29,2,10,2,25,27,29
20,29,2,10,5,27,32,29
20,29,2,10,1,80,81,29
20,31,2,10,1,24,25,31
20,31,2,10,9,16,25,31
20,31,2,10,2,25,27,31
20,31,2,10,5,27,32,31
20,31,2,10,1,80,81,31
20,34,2,10,1,24,25,17
20,34,2,10,9,16,25,17
20,34,2,10,2,25,27,17
20,34,2,10,5,27,32,17
20,34,2,10,1,80,81,17
20,37,2,10,1,24,25,37
20,37,2,10,9,16,25,37
20,37,2,10,2,25,27,37
20,37,2,10,5,27,32,37
20,38,2,10,1,24,25,19
20,38,2,10,9,16,25,19
20,38,2,10,2,25,27,19
20,38,2,10,5,27,32,19
20,41,2,10,1,24,25,41
20,41,2,10,9,16,25,41
20,41,2,10,2,25,27,41
20,41,2,10,5,27,32,41
20,43,2,10,1,24,25,43
20,43,2,10,9,16,25,43
20,43,2,10,2,25,27,43
20,43,2,10,5,27,32,43
20,46,2,10,1,24,25,23
20,46,2,10,9,16,25,23
20,46,2,10,2,25,27,23
20,46,2,10,5,27,32,23
20,47,2,10,1,24,25,47
20,47,2,10,9,16,25,47
20,47,2,10,2,25,27,47
20,47,2,10,5,27,32,47
20,53,2,10,1,24,25,53
20,53,2,10,9,16,25,53
20,53,2,10,2,25,27,53
20,53,2,10,5,27,32,53
20,58,2,10,1,24,25,29
20,58,2,10,9,16,25,29
20,58,2,10,2,25,27,29
20,58,2,10,5,27,32,29
20,59,2,10,1,24,25,59
20,59,2,10,9,16,25,59
20,59,2,10,2,25,27,59
20,59,2,10,5,27,32,59
20,61,2,10,1,24,25,61
20,61,2,10,9,16,25,61
20,61,2,10,2,25,27,61
20,61,2,10,5,27,32,61
20,62,2,10,1,24,25,31
20,62,2,10,9,16,25,31
20,62,2,10,2,25,27,31
20,62,2,10,5,27,32,31
20,67,2,10,1,24,25,67
20,67,2,10,9,16,25,67
20,67,2,10,2,25,27,67
20,67,2,10,5,27,32,67
20,71,2,10,1,24,25,71
20,71,2,10,9,16,25,71
20,71,2,10,2,25,27,71
20,71,2,10,5,27,32,71
20,73,2,10,1,24,25,73
20,73,2,10,9,16,25,73
20,73,2,10,2,25,27,73
20,73,2,10,5,27,32,73
20,74,2,10,1,24,25,37
20,74,2,10,9,16,25,37
20,74,2,10,2,25,27,37
20,74,2,10,5,27,32,37
20,79,2,10,1,24,25,79
20,79,2,10,9,16,25,79
20,79,2,10,2,25,27,79
20,79,2,10,5,27,32,79
20,82,2,10,1,24,25,41
20,82,2,10,9,16,25,41
20,82,2,10,2,25,27,41
20,82,2,10,5,27,32,41
20,83,2,10,1,24,25,83
20,83,2,10,9,16,25,83
