[1/46] shape=1,8 degree=7 primes=3 last=5
[2/46] shape=1,15 degree=14 primes=6 last=13
[3/46] shape=1,24 degree=23 primes=4 last=7
[4/46] shape=1,27 degree=26 primes=5 last=11
[5/46] shape=1,32 degree=31 primes=3 last=5
[6/46] shape=1,35 degree=34 primes=6 last=13
[7/46] shape=1,48 degree=47 primes=3 last=5
[8/46] shape=1,49 degree=48 primes=5 last=11
[9/46] shape=1,63 degree=62 primes=5 last=11
[10/46] shape=1,64 degree=63 primes=5 last=11
[11/46] shape=1,80 degree=79 primes=5 last=11
[12/46] shape=32,49 degree=79 primes=4 last=11
[13/46] shape=1,98 degree=97 primes=9 last=23
[14/46] shape=1,99 degree=98 primes=6 last=13
[15/46] shape=1,120 degree=119 primes=6 last=13
[16/46] shape=49,72 degree=119 primes=6 last=17
[17/46] shape=1,124 degree=123 primes=5 last=11
[18/46] shape=1,125 degree=124 primes=7 last=17
[19/46] shape=3,125 degree=126 primes=6 last=17
[20/46] shape=1,128 degree=127 primes=4 last=7
[21/46] shape=1,144 degree=143 primes=5 last=11
[22/46] shape=64,125 degree=187 primes=5 last=13
[23/46] shape=1,224 degree=223 primes=9 last=23
[24/46] shape=1,242 degree=241 primes=4 last=7
[25/46] shape=1,243 degree=242 primes=4 last=7
[26/46] shape=1,255 degree=254 primes=9 last=23
[27/46] shape=81,175 degree=254 primes=5 last=13
[28/46] shape=1,287 degree=286 primes=4 last=7
[29/46] shape=1,288 degree=287 primes=8 last=19
[30/46] shape=1,324 degree=323 primes=7 last=17
[31/46] shape=1,342 degree=341 primes=9 last=23
[32/46] shape=100,243 degree=341 primes=6 last=19
[33/46] shape=1,343 degree=342 primes=5 last=11
[34/46] shape=169,343 degree=510 primes=3 last=5
[35/46] shape=1,512 degree=511 primes=6 last=13
[36/46] shape=1,575 degree=574 primes=6 last=13
[37/46] shape=1,624 degree=623 primes=9 last=23
[38/46] shape=1,675 degree=674 primes=5 last=11
[39/46] shape=1,960 degree=959 primes=6 last=13
[40/46] shape=1,1024 degree=1023 primes=5 last=11
[41/46] shape=1,1088 degree=1087 primes=9 last=23
[42/46] shape=1,2400 degree=2399 primes=7 last=17
[43/46] shape=1,3968 degree=3967 primes=6 last=13
