[1/46] shape=1,8 already certified
[2/46] shape=1,15 already certified
[3/46] shape=1,24 already certified
[4/46] shape=1,27 already certified
[5/46] shape=1,32 already certified
[6/46] shape=1,35 already certified
[7/46] shape=1,48 already certified
[8/46] shape=1,49 already certified
[9/46] shape=1,63 already certified
[10/46] shape=1,64 already certified
[11/46] shape=1,80 already certified
[12/46] shape=32,49 already certified
[13/46] shape=1,98 already certified
[14/46] shape=1,99 already certified
[15/46] shape=1,120 already certified
[16/46] shape=49,72 already certified
[17/46] shape=1,124 already certified
[18/46] shape=1,125 already certified
[19/46] shape=3,125 already certified
[20/46] shape=1,128 already certified
[21/46] shape=1,144 already certified
[22/46] shape=64,125 already certified
[23/46] shape=1,224 already certified
[24/46] shape=1,242 already certified
[25/46] shape=1,243 already certified
[26/46] shape=1,255 already certified
[27/46] shape=81,175 already certified
[28/46] shape=1,287 already certified
[29/46] shape=1,288 already certified
[30/46] shape=1,324 already certified
[31/46] shape=1,342 already certified
[32/46] shape=100,243 already certified
[33/46] shape=1,343 already certified
[34/46] shape=169,343 already certified
[35/46] shape=1,512 already certified
[36/46] shape=1,575 already certified
[37/46] shape=1,624 already certified
[38/46] shape=1,675 already certified
[39/46] shape=1,960 already certified
[40/46] shape=1,1024 already certified
[41/46] shape=1,1088 already certified
[42/46] shape=1,2400 already certified
[43/46] shape=1,3968 already certified
[44/46] shape=1,4224 degree=4223 primes=8 last=19
