r,a,b,n,s,c,f,m
1,1,8,9,7,1,8,9
1,1,8,9,11,1,8,9
1,1,8,9,13,1,8,9
1,1,8,9,17,1,8,9
1,1,8,9,19,1,8,9
1,1,8,9,23,1,8,9
1,1,8,9,29,1,8,9
1,1,8,9,31,1,8,9
1,1,8,9,37,1,8,9
1,1,8,9,41,1,8,9
1,1,8,9,43,1,8,9
1,1,8,9,47,1,8,9
1,1,8,9,49,1,8,9
1,1,8,9,53,1,8,9
1,1,8,9,59,1,8,9
1,1,8,9,61,1,8,9
1,1,15,16,13,1,15,16
1,1,15,16,17,1,15,16
1,1,15,16,19,1,15,16
1,1,15,16,23,1,15,16
1,1,15,16,29,1,15,16
1,1,15,16,31,1,15,16
1,1,15,16,37,1,15,16
1,1,15,16,41,1,15,16
1,1,15,16,43,1,15,16
1,1,15,16,47,1,15,16
1,1,15,16,53,1,15,16
1,1,15,16,59,1,15,16
1,1,15,16,61,1,15,16
1,1,15,16,67,1,15,16
1,1,15,16,71,1,15,16
1,1,15,16,73,1,15,16
1,1,15,16,79,1,15,16
1,1,15,16,83,1,15,16
1,1,24,25,13,1,24,25
1,1,24,25,17,1,24,25
1,1,24,25,19,1,24,25
1,1,24,25,23,1,24,25
1,1,24,25,29,1,24,25
1,1,24,25,31,1,24,25
1,1,24,25,37,1,24,25
1,1,24,25,41,1,24,25
1,1,24,25,43,1,24,25
1,1,24,25,47,1,24,25
1,1,24,25,53,1,24,25
1,1,24,25,59,1,24,25
1,1,24,25,61,1,24,25
1,1,24,25,67,1,24,25
1,1,24,25,71,1,24,25
1,1,24,25,73,1,24,25
1,1,24,25,79,1,24,25
1,1,24,25,83,1,24,25
1,1,24,25,89,1,24,25
1,1,24,25,97,1,24,25
1,1,27,28,17,1,27,28
1,1,27,28,19,1,27,28
1,1,27,28,23,1,27,28
1,1,27,28,29,1,27,28
1,1,27,28,31,1,27,28
1,1,27,28,37,1,27,28
1,1,27,28,41,1,27,28
1,1,27,28,43,1,27,28
1,1,27,28,47,1,27,28
1,1,27,28,53,1,27,28
1,1,27,28,59,1,27,28
1,1,32,33,29,1,32,33
1,1,32,33,31,1,32,33
1,1,32,33,37,1,32,33
1,1,32,33,41,1,32,33
1,1,32,33,43,1,32,33
1,1,32,33,47,1,32,33
1,1,32,33,53,1,32,33
1,1,32,33,59,1,32,33
