d,r,t,e1,a,b,n,defect1,s,u,e2,c,f,m,defect2,D,role_bound,correspondence_bound
4,1,1,4,1,8,9,1,7,1,4,1,8,9,7,63,8,14
4,1,1,4,1,8,9,1,11,1,4,1,8,9,11,99,8,22
4,7,1,4,1,8,9,7,11,1,4,1,8,9,11,99,8,154
4,1,1,4,1,8,9,1,13,1,4,1,8,9,13,117,8,26
4,7,1,4,1,8,9,7,13,1,4,1,8,9,13,117,8,182
4,11,1,4,1,8,9,11,13,1,4,1,8,9,13,117,8,286
4,1,1,4,1,8,9,1,17,1,4,1,8,9,17,153,8,34
4,7,1,4,1,8,9,7,17,1,4,1,8,9,17,153,8,238
4,11,1,4,1,8,9,11,17,1,4,1,8,9,17,153,8,374
4,13,1,4,1,8,9,13,17,1,4,1,8,9,17,153,8,442
4,1,1,4,1,8,9,1,19,1,4,1,8,9,19,171,8,38
4,7,1,4,1,8,9,7,19,1,4,1,8,9,19,171,8,266
4,11,1,4,1,8,9,11,19,1,4,1,8,9,19,171,8,418
4,13,1,4,1,8,9,13,19,1,4,1,8,9,19,171,8,494
4,17,1,4,1,8,9,17,19,1,4,1,8,9,19,171,8,646
4,1,1,4,1,8,9,1,23,1,4,1,8,9,23,207,8,46
4,7,1,4,1,8,9,7,23,1,4,1,8,9,23,207,8,322
4,11,1,4,1,8,9,11,23,1,4,1,8,9,23,207,8,506
4,13,1,4,1,8,9,13,23,1,4,1,8,9,23,207,8,598
4,17,1,4,1,8,9,17,23,1,4,1,8,9,23,207,8,782
4,19,1,4,1,8,9,19,23,1,4,1,8,9,23,207,8,874
4,1,1,4,1,8,9,1,29,1,4,1,8,9,29,261,8,58
4,7,1,4,1,8,9,7,29,1,4,1,8,9,29,261,8,406
4,11,1,4,1,8,9,11,29,1,4,1,8,9,29,261,8,638
4,13,1,4,1,8,9,13,29,1,4,1,8,9,29,261,8,754
4,17,1,4,1,8,9,17,29,1,4,1,8,9,29,261,8,986
4,19,1,4,1,8,9,19,29,1,4,1,8,9,29,261,8,1102
4,23,1,4,1,8,9,23,29,1,4,1,8,9,29,261,8,1334
4,1,1,4,1,8,9,1,31,1,4,1,8,9,31,279,8,62
4,7,1,4,1,8,9,7,31,1,4,1,8,9,31,279,8,434
4,11,1,4,1,8,9,11,31,1,4,1,8,9,31,279,8,682
4,13,1,4,1,8,9,13,31,1,4,1,8,9,31,279,8,806
4,17,1,4,1,8,9,17,31,1,4,1,8,9,31,279,8,1054
4,19,1,4,1,8,9,19,31,1,4,1,8,9,31,279,8,1178
4,23,1,4,1,8,9,23,31,1,4,1,8,9,31,279,8,1426
4,29,1,4,1,8,9,29,31,1,4,1,8,9,31,279,8,1798
4,1,1,4,1,8,9,1,37,1,4,1,8,9,37,333,8,74
4,7,1,4,1,8,9,7,37,1,4,1,8,9,37,333,8,518
4,11,1,4,1,8,9,11,37,1,4,1,8,9,37,333,8,814
4,13,1,4,1,8,9,13,37,1,4,1,8,9,37,333,8,962
4,17,1,4,1,8,9,17,37,1,4,1,8,9,37,333,8,1258
4,19,1,4,1,8,9,19,37,1,4,1,8,9,37,333,8,1406
4,23,1,4,1,8,9,23,37,1,4,1,8,9,37,333,8,1702
4,29,1,4,1,8,9,29,37,1,4,1,8,9,37,333,8,2146
4,31,1,4,1,8,9,31,37,1,4,1,8,9,37,333,8,2294
4,1,1,4,1,8,9,1,41,1,4,1,8,9,41,369,8,82
4,7,1,4,1,8,9,7,41,1,4,1,8,9,41,369,8,574
4,11,1,4,1,8,9,11,41,1,4,1,8,9,41,369,8,902
4,13,1,4,1,8,9,13,41,1,4,1,8,9,41,369,8,1066
4,17,1,4,1,8,9,17,41,1,4,1,8,9,41,369,8,1394
4,19,1,4,1,8,9,19,41,1,4,1,8,9,41,369,8,1558
4,23,1,4,1,8,9,23,41,1,4,1,8,9,41,369,8,1886
4,29,1,4,1,8,9,29,41,1,4,1,8,9,41,369,8,2378
4,31,1,4,1,8,9,31,41,1,4,1,8,9,41,369,8,2542
4,37,1,4,1,8,9,37,41,1,4,1,8,9,41,369,8,3034
4,1,1,4,1,8,9,1,43,1,4,1,8,9,43,387,8,86
4,7,1,4,1,8,9,7,43,1,4,1,8,9,43,387,8,602
4,11,1,4,1,8,9,11,43,1,4,1,8,9,43,387,8,946
4,13,1,4,1,8,9,13,43,1,4,1,8,9,43,387,8,1118
4,17,1,4,1,8,9,17,43,1,4,1,8,9,43,387,8,1462
4,19,1,4,1,8,9,19,43,1,4,1,8,9,43,387,8,1634
4,23,1,4,1,8,9,23,43,1,4,1,8,9,43,387,8,1978
4,29,1,4,1,8,9,29,43,1,4,1,8,9,43,387,8,2494
4,31,1,4,1,8,9,31,43,1,4,1,8,9,43,387,8,2666
4,37,1,4,1,8,9,37,43,1,4,1,8,9,43,387,8,3182
4,41,1,4,1,8,9,41,43,1,4,1,8,9,43,387,8,3526
4,1,1,4,1,8,9,1,47,1,4,1,8,9,47,423,8,94
4,7,1,4,1,8,9,7,47,1,4,1,8,9,47,423,8,658
4,11,1,4,1,8,9,11,47,1,4,1,8,9,47,423,8,1034
4,13,1,4,1,8,9,13,47,1,4,1,8,9,47,423,8,1222
4,17,1,4,1,8,9,17,47,1,4,1,8,9,47,423,8,1598
4,19,1,4,1,8,9,19,47,1,4,1,8,9,47,423,8,1786
4,23,1,4,1,8,9,23,47,1,4,1,8,9,47,423,8,2162
4,29,1,4,1,8,9,29,47,1,4,1,8,9,47,423,8,2726
4,31,1,4,1,8,9,31,47,1,4,1,8,9,47,423,8,2914
4,37,1,4,1,8,9,37,47,1,4,1,8,9,47,423,8,3478
4,41,1,4,1,8,9,41,47,1,4,1,8,9,47,423,8,3854
4,43,1,4,1,8,9,43,47,1,4,1,8,9,47,423,8,4042
4,1,1,4,1,8,9,1,49,1,4,1,8,9,7,441,8,98
4,11,1,4,1,8,9,11,49,1,4,1,8,9,7,441,8,1078
4,13,1,4,1,8,9,13,49,1,4,1,8,9,7,441,8,1274
4,17,1,4,1,8,9,17,49,1,4,1,8,9,7,441,8,1666
4,19,1,4,1,8,9,19,49,1,4,1,8,9,7,441,8,1862
4,23,1,4,1,8,9,23,49,1,4,1,8,9,7,441,8,2254
4,29,1,4,1,8,9,29,49,1,4,1,8,9,7,441,8,2842
4,31,1,4,1,8,9,31,49,1,4,1,8,9,7,441,8,3038
4,37,1,4,1,8,9,37,49,1,4,1,8,9,7,441,8,3626
4,41,1,4,1,8,9,41,49,1,4,1,8,9,7,441,8,4018
4,43,1,4,1,8,9,43,49,1,4,1,8,9,7,441,8,4214
4,47,1,4,1,8,9,47,49,1,4,1,8,9,7,441,8,4606
4,1,1,4,1,8,9,1,53,1,4,1,8,9,53,477,8,106
4,7,1,4,1,8,9,7,53,1,4,1,8,9,53,477,8,742
4,11,1,4,1,8,9,11,53,1,4,1,8,9,53,477,8,1166
4,13,1,4,1,8,9,13,53,1,4,1,8,9,53,477,8,1378
4,17,1,4,1,8,9,17,53,1,4,1,8,9,53,477,8,1802
