pair_index,orientation,r,a,b,n,s,c,d_endpoint,m,low1,low2,prime,gcd_degree,attempt_count,total_seconds,max_rss_kb,backend
0,2,21,1,4374,4375,26,1,4374,4375,4374,1,1009,2,1,0.07941284900016399,336816,dense
0,0,21,1,4374,4375,26,1,4374,4375,1,1,1009,2,1,0.07029180500012444,306368,dense
0,1,21,1,4374,4375,26,1,4374,4375,1,4374,1009,2,1,0.06731729200009795,328572,dense
0,3,21,1,4374,4375,26,1,4374,4375,4374,4374,1009,2,1,0.08697544699998616,312412,dense
1,0,23,1,4374,4375,28,1,4374,4375,1,1,1009,2,1,0.08490243100004591,308400,dense
1,2,23,1,4374,4375,28,1,4374,4375,4374,1,1009,2,1,0.09995307700000922,323480,dense
1,3,23,1,4374,4375,28,1,4374,4375,4374,4374,1009,2,1,0.09885999800007994,327568,dense
1,1,23,1,4374,4375,28,1,4374,4375,1,4374,1009,2,1,0.08224426700007825,317036,dense
2,2,23,1,4374,4375,30,1,4374,4375,4374,1,1009,2,1,0.09784010400016996,332376,dense
2,0,23,1,4374,4375,30,1,4374,4375,1,1,1009,2,1,0.07285458199976347,319080,dense
2,1,23,1,4374,4375,30,1,4374,4375,1,4374,1009,2,1,0.09412756399979116,333596,dense
2,3,23,1,4374,4375,30,1,4374,4375,4374,4374,1009,2,1,0.11044145699997898,329160,dense
3,2,14,1,2400,2401,69,1,2400,2401,2400,1,1009,2,1,0.10241909500018664,314336,dense
3,1,14,1,2400,2401,69,1,2400,2401,1,2400,1009,2,1,0.10324742200009496,308636,dense
3,3,14,1,2400,2401,69,1,2400,2401,2400,2400,1009,2,1,0.1001689930003522,307304,dense
3,0,14,1,2400,2401,69,1,2400,2401,1,1,1009,2,1,0.10299628099983238,331652,dense
4,0,20,1,4374,4375,69,1,4374,4375,1,1,1009,2,1,0.20342068899981314,338744,dense
4,3,20,1,4374,4375,69,1,4374,4375,4374,4374,1009,2,1,0.23175922100017488,330352,dense
4,1,20,1,4374,4375,69,1,4374,4375,1,4374,1009,2,1,0.20257325700004003,317688,dense
4,2,20,1,4374,4375,69,1,4374,4375,4374,1,1009,2,1,0.20190856999988682,335428,dense
5,0,5,1,10647,10648,77,1936,13689,15625,1,1936,1009,2,1,0.6274461630000587,392840,dense
5,3,5,1,10647,10648,77,1936,13689,15625,10647,13689,1009,2,1,0.6251297169997088,385680,dense
5,2,5,1,10647,10648,77,1936,13689,15625,10647,1936,1009,2,1,0.6314523990004091,385056,dense
5,1,5,1,10647,10648,77,1936,13689,15625,1,13689,1009,2,1,0.6493330440002865,383500,dense
6,2,65,1,10647,10648,77,1936,13689,15625,10647,1936,1009,2,1,1.9181747950001409,470780,dense
6,0,65,1,10647,10648,77,1936,13689,15625,1,1936,1009,2,1,1.9187686750001376,479688,dense
6,1,65,1,10647,10648,77,1936,13689,15625,1,13689,1009,2,1,2.0738649259997146,480716,dense
6,3,65,1,10647,10648,77,1936,13689,15625,10647,13689,1009,2,1,2.1167928290001328,477708,dense
