r,a,b,n,s,c,d,m,D,k_lo,k_hi,radprod1,radprod2,support1,support2
1,1,2400,2401,21,1,2400,2401,50421,18,114,210,210,35,35
2,1,2400,2401,21,1,2400,2401,50421,9,57,210,210,35,35
4,1,2400,2401,21,1,2400,2401,50421,5,28,210,210,35,35
5,1,2400,2401,21,1,2400,2401,50421,4,22,210,210,35,35
1,1,4224,4225,12,1,4224,4225,50700,31,351,4290,4290,715,715
1,1,5831,5832,9,1,5831,5832,52488,42,623,714,714,119,119
2,1,5831,5832,9,1,5831,5832,52488,21,311,714,714,119,119
7,1,5831,5832,9,1,5831,5832,52488,6,89,714,714,119,119
1,1,4374,4375,12,1,4374,4375,52500,32,364,210,210,35,35
5,1,4374,4375,12,1,4374,4375,52500,7,72,210,210,35,35
1,1,2400,2401,22,1,2400,2401,52822,18,108,210,210,35,35
6,1,4095,4096,13,1,4095,4096,53248,5,52,2730,2730,455,455
2,1,2400,2401,23,1,2400,2401,55223,9,52,210,210,35,35
1,1,4374,4375,13,1,4374,4375,56875,32,336,210,210,35,35
3,1,4374,4375,13,1,4374,4375,56875,11,112,210,210,35,35
4,1,4374,4375,13,1,4374,4375,56875,8,84,210,210,35,35
6,1,4374,4375,13,1,4374,4375,56875,6,56,210,210,35,35
7,1,4374,4375,13,1,4374,4375,56875,5,48,210,210,35,35
1,1,4095,4096,14,1,4095,4096,57344,30,292,2730,2730,455,455
1,1,14336,14337,4,1,14336,14337,57348,103,1487,2478,2478,413,413
1,1,2400,2401,24,1,2400,2401,57624,18,99,210,210,35,35
1,1,5831,5832,10,1,5831,5832,58320,42,582,714,714,119,119
3,1,5831,5832,10,1,5831,5832,58320,14,194,714,714,119,119
4,1,6560,6561,9,1,6560,6561,59049,12,168,1230,1230,205,205
1,1,3968,3969,15,1,3968,3969,59535,29,264,1302,1302,217,217
1,1,2400,2401,25,1,2400,2401,60025,18,95,210,210,35,35
4,1,2400,2401,25,1,2400,2401,60025,5,23,210,210,35,35
7,1,2400,2401,25,1,2400,2401,60025,3,13,210,210,35,35
1,1,8575,8576,7,1,8575,8576,60032,62,876,4690,4690,2345,2345
5,1,8575,8576,7,1,8575,8576,60032,13,175,4690,4690,2345,2345
3,1,6075,6076,10,1,6075,6076,60760,15,202,6510,6510,1085,1085
1,1,4374,4375,14,1,4374,4375,61250,32,312,210,210,35,35
3,1,4374,4375,14,1,4374,4375,61250,11,104,210,210,35,35
5,1,4374,4375,14,1,4374,4375,61250,7,62,210,210,35,35
9,1,4374,4375,14,1,4374,4375,61250,4,34,210,210,35,35
1,1,4095,4096,15,1,4095,4096,61440,30,272,2730,2730,455,455
8,1,4095,4096,15,1,4095,4096,61440,4,34,2730,2730,455,455
5,1,2400,2401,26,1,2400,2401,62426,4,18,210,210,35,35
1,1,2400,2401,27,1,2400,2401,64827,18,88,210,210,35,35
2,1,2400,2401,27,1,2400,2401,64827,9,44,210,210,35,35
5,1,2400,2401,27,1,2400,2401,64827,4,17,210,210,35,35
1,1,6560,6561,10,1,6560,6561,65610,47,650,1230,1230,205,205
1,1,4374,4375,15,1,4374,4375,65625,32,291,210,210,35,35
2,1,4374,4375,15,1,4374,4375,65625,16,145,210,210,35,35
4,1,4374,4375,15,1,4374,4375,65625,8,72,210,210,35,35
7,1,4374,4375,15,1,4374,4375,65625,5,41,210,210,35,35
8,1,4374,4375,15,1,4374,4375,65625,4,36,210,210,35,35
14,1,4374,4375,15,1,4374,4375,65625,3,20,210,210,35,35
1,1,2400,2401,28,1,2400,2401,67228,18,85,210,210,35,35
