a,b,n,rad_a,rad_b,rad_n,rad_product
1,3,4,1,3,2,6
1,7,8,1,7,2,14
1,8,9,1,2,3,6
4,5,9,2,5,3,30
1,11,12,1,11,6,66
4,11,15,2,11,15,330
7,8,15,7,2,15,210
1,15,16,1,15,2,30
7,9,16,7,3,2,42
1,17,18,1,17,6,102
1,19,20,1,19,10,190
9,11,20,3,11,10,330
4,17,21,2,17,21,714
5,16,21,5,2,21,210
8,13,21,2,13,21,546
1,23,24,1,23,6,138
1,24,25,1,6,5,30
4,21,25,2,21,5,210
7,18,25,7,6,5,210
8,17,25,2,17,5,170
9,16,25,3,2,5,30
12,13,25,6,13,5,390
1,26,27,1,26,3,78
4,23,27,2,23,3,138
7,20,27,7,10,3,210
8,19,27,2,19,3,114
11,16,27,11,2,3,66
1,27,28,1,3,14,42
3,25,28,3,5,14,210
9,19,28,3,19,14,798
1,31,32,1,31,2,62
5,27,32,5,3,2,30
7,25,32,7,5,2,70
9,23,32,3,23,2,138
4,29,33,2,29,33,1914
5,28,33,5,14,33,2310
8,25,33,2,5,33,330
13,20,33,13,10,33,4290
16,17,33,2,17,33,1122
3,32,35,3,2,35,210
4,31,35,2,31,35,2170
8,27,35,2,3,35,210
9,26,35,3,26,35,2730
11,24,35,11,6,35,2310
12,23,35,6,23,35,4830
16,19,35,2,19,35,1330
17,18,35,17,6,35,3570
1,35,36,1,35,6,210
11,25,36,11,5,6,330
4,35,39,2,35,39,2730
7,32,39,7,2,39,546
8,31,39,2,31,39,2418
11,28,39,11,14,39,6006
14,25,39,14,5,39,2730
16,23,39,2,23,39,1794
19,20,39,19,10,39,7410
1,39,40,1,39,10,390
9,31,40,3,31,10,930
13,27,40,13,3,10,390
17,25,42,17,5,42,3570
1,43,44,1,43,22,946
9,35,44,3,35,22,2310
17,27,44,17,3,22,1122
19,25,44,19,5,22,2090
1,44,45,1,22,15,330
4,41,45,2,41,15,1230
8,37,45,2,37,15,1110
13,32,45,13,2,15,390
16,29,45,2,29,15,870
17,28,45,17,14,15,3570
1,47,48,1,47,6,282
23,25,48,23,5,6,690
1,48,49,1,6,7,42
4,45,49,2,15,7,210
5,44,49,5,22,7,770
8,41,49,2,41,7,574
9,40,49,3,10,7,210
12,37,49,6,37,7,1554
13,36,49,13,6,7,546
16,33,49,2,33,7,462
17,32,49,17,2,7,238
18,31,49,6,31,7,1302
20,29,49,10,29,7,2030
22,27,49,22,3,7,462
24,25,49,6,5,7,210
1,49,50,1,7,10,70
9,41,50,3,41,10,1230
23,27,50,23,3,10,690
4,47,51,2,47,51,4794
7,44,51,7,22,51,7854
8,43,51,2,43,51,4386
11,40,51,11,10,51,5610
16,35,51,2,35,51,3570
19,32,51,19,2,51,1938
20,31,51,10,31,51,15810
23,28,51,23,14,51,16422
25,26,51,5,26,51,6630
1,51,52,1,51,26,1326
7,45,52,7,15,26,2730
9,43,52,3,43,26,3354
25,27,52,5,3,26,390
1,53,54,1,53,6,318
5,49,54,5,7,6,210
25,29,54,5,29,6,870
4,51,55,2,51,55,5610
6,49,55,6,7,55,2310
7,48,55,7,6,55,2310
8,47,55,2,47,55,5170
9,46,55,3,46,55,7590
12,43,55,6,43,55,14190
16,39,55,2,39,55,4290
18,37,55,6,37,55,12210
19,36,55,19,6,55,6270
23,32,55,23,2,55,2530
24,31,55,6,31,55,10230
27,28,55,3,14,55,2310
1,55,56,1,55,14,770
9,47,56,3,47,14,1974
11,45,56,11,15,14,2310
25,31,56,5,31,14,2170
27,29,56,3,29,14,1218
4,53,57,2,53,57,6042
5,52,57,5,26,57,7410
7,50,57,7,10,57,3990
8,49,57,2,7,57,798
13,44,57,13,22,57,16302
16,41,57,2,41,57,4674
17,40,57,17,10,57,9690
20,37,57,10,37,57,21090
25,32,57,5,2,57,570
28,29,57,14,29,57,23142
1,59,60,1,59,30,1770
11,49,60,11,7,30,2310
1,62,63,1,62,21,1302
4,59,63,2,59,21,2478
8,55,63,2,55,21,2310
11,52,63,11,26,21,6006
13,50,63,13,10,21,2730
16,47,63,2,47,21,1974
19,44,63,19,22,21,8778
20,43,63,10,43,21,9030
23,40,63,23,10,21,4830
25,38,63,5,38,21,3990
31,32,63,31,2,21,1302
1,63,64,1,21,2,42
9,55,64,3,55,2,330
15,49,64,15,7,2,210
19,45,64,19,15,2,570
25,39,64,5,39,2,390
27,37,64,3,37,2,222
4,61,65,2,61,65,7930
8,57,65,2,57,65,7410
9,56,65,3,14,65,2730
11,54,65,11,6,65,4290
12,53,65,6,53,65,20670
16,49,65,2,7,65,910
17,48,65,17,6,65,6630
18,47,65,6,47,65,18330
21,44,65,21,22,65,30030
24,41,65,6,41,65,15990
27,38,65,3,38,65,7410
28,37,65,14,37,65,33670
29,36,65,29,6,65,11310
32,33,65,2,33,65,4290
17,49,66,17,7,66,7854
25,41,66,5,41,66,13530
1,67,68,1,67,34,2278
9,59,68,3,59,34,6018
19,49,68,19,7,34,4522
23,45,68,23,15,34,11730
25,43,68,5,43,34,7310
27,41,68,3,41,34,4182
4,65,69,2,65,69,8970
8,61,69,2,61,69,8418
13,56,69,13,14,69,12558
16,53,69,2,53,69,7314
17,52,69,17,26,69,30498
19,50,69,19,10,69,13110
