pair_index,orientation,r,a,b,n,s,c,d_endpoint,m,low1,low2,prime,gcd_degree,attempt_count,total_seconds,max_rss_kb,backend
1,2,1,1,2400,2401,1,32,343,375,2400,32,1009,2,1,0.004091218000212393,308408,dense
1,3,1,1,2400,2401,1,32,343,375,2400,343,1009,2,1,0.004433460999734962,308408,dense
1,1,1,1,2400,2401,1,32,343,375,1,343,1009,2,1,0.004456136000044353,308392,dense
2,0,1,567,15625,16192,1,625,45927,46552,567,625,1009,2,1,0.1015722340002867,310852,dense
0,1,1,1,49,50,1,100,243,343,1,243,1009,2,1,0.001983284999823809,306784,dense
2,1,1,567,15625,16192,1,625,45927,46552,567,45927,1009,2,1,0.10970090899991192,308408,dense
2,2,1,567,15625,16192,1,625,45927,46552,15625,625,1009,2,1,0.19291385399992578,321608,dense
1,0,1,1,2400,2401,1,32,343,375,1,32,1009,2,1,0.08329704000016136,307260,dense
2,3,1,567,15625,16192,1,625,45927,46552,15625,45927,1009,2,1,0.11706948599976386,325192,dense
0,2,1,1,49,50,1,100,243,343,49,100,1009,2,1,0.0020982339997317467,301880,dense
0,0,1,1,49,50,1,100,243,343,1,100,997,2,2,0.03593295399969065,320096,dense
0,3,1,1,49,50,1,100,243,343,49,243,997,2,2,0.002053260999673512,320000,dense
