d,r,e,a,b,n
4,1,4,1,8,9
10,1,10,1,15,16
10,1,10,1,24,25
10,1,10,9,16,25
10,1,10,2,25,27
10,1,10,5,27,32
10,1,10,1,80,81
10,1,10,3,125,128
12,1,12,7,9,16
12,1,12,1,27,28
12,1,12,1,48,49
12,1,12,1,63,64
12,1,12,32,49,81
18,1,18,1,24,25
18,1,18,9,16,25
18,1,18,2,25,27
18,1,18,5,27,32
18,1,18,1,80,81
18,1,18,3,125,128
20,1,20,4,121,125
20,2,10,1,24,25
20,2,10,9,16,25
20,2,10,2,25,27
20,2,10,5,27,32
20,2,10,1,80,81
20,2,10,3,125,128
22,1,22,11,16,27
22,1,22,1,32,33
22,1,22,1,242,243
24,1,24,13,243,256
24,2,12,1,27,28
24,2,12,1,48,49
24,2,12,1,63,64
24,2,12,32,49,81
26,1,26,169,343,512
28,1,28,5,27,32
28,1,28,7,25,32
28,1,28,3,32,35
28,1,28,8,27,35
28,1,28,1,35,36
28,1,28,1,48,49
28,1,28,4,45,49
28,1,28,9,40,49
28,1,28,24,25,49
28,1,28,1,49,50
28,1,28,5,49,54
28,1,28,1,63,64
28,1,28,15,49,64
28,1,28,1,80,81
28,1,28,25,56,81
28,1,28,32,49,81
28,1,28,27,98,125
28,1,28,1,125,126
28,1,28,3,125,128
28,1,28,7,128,135
28,1,28,64,125,189
28,1,28,1,224,225
28,1,28,2,243,245
28,1,28,7,243,250
28,1,28,81,175,256
28,1,28,100,243,343
28,1,28,32,343,375
28,1,28,49,576,625
28,1,28,5,1024,1029
28,1,28,1,2400,2401
30,1,30,1,80,81
30,1,30,3,125,128
30,3,10,5,27,32
30,3,10,1,80,81
30,3,10,3,125,128
34,1,34,17,64,81
34,1,34,1,288,289
36,1,36,1,512,513
36,2,18,1,80,81
36,2,18,3,125,128
36,3,12,1,48,49
36,3,12,1,63,64
36,3,12,32,49,81
40,1,40,1,48,49
40,1,40,4,45,49
40,1,40,9,40,49
40,1,40,24,25,49
40,1,40,1,49,50
40,1,40,5,49,54
40,1,40,1,63,64
40,1,40,15,49,64
40,1,40,1,80,81
40,1,40,25,56,81
40,1,40,32,49,81
40,1,40,27,98,125
40,1,40,1,125,126
40,1,40,3,125,128
40,1,40,7,128,135
40,1,40,64,125,189
40,1,40,1,224,225
40,1,40,2,243,245
40,1,40,7,243,250
40,1,40,81,175,256
40,1,40,100,243,343
40,1,40,32,343,375
40,1,40,49,576,625
40,1,40,5,1024,1029
40,1,40,1,2400,2401
40,1,40,1,4374,4375
40,2,20,4,121,125
40,4,10,1,80,81
40,4,10,3,125,128
42,1,42,1,48,49
42,1,42,16,33,49
42,1,42,22,27,49
42,1,42,1,63,64
42,1,42,4,77,81
42,1,42,32,49,81
42,1,42,7,81,88
42,1,42,1,98,99
42,1,42,9,112,121
42,1,42,49,72,121
42,1,42,7,121,128
42,1,42,1,242,243
42,1,42,9,343,352
42,1,42,27,512,539
42,1,42,8,1323,1331
44,2,22,1,242,243
48,1,48,1,80,81
48,1,48,3,125,128
48,2,24,13,243,256
48,4,12,1,63,64
48,4,12,32,49,81
50,1,50,1,64,65
50,5,10,1,80,81
50,5,10,3,125,128
52,1,52,13,243,256
52,2,26,169,343,512
54,1,54,1,63,64
54,1,54,32,49,81
54,3,18,1,80,81
